THỜI KHÓA BIỂU DỰ KIẾN KỲ 20252 - CẬP NHẬT NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20252,THKHSS,762791,762791,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N2,1,3,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,18,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762791,762791,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N2,1,3,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,18,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762792,762792,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N3,1,4,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,16,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762792,762792,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N3,1,4,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,16,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762793,762793,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N4,1,5,0730-1145,2,6,Sáng,"34,35,36",C4-301,NULL,18,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,762793,762793,BF2572E,Kỹ thuật các Quá trình trong CNTP II ,Processes in Food engineering II,3(2-1-1-6),N4,1,5,0730-1145,2,6,Sáng,"34,35,36",TTB4,NULL,18,18,Điều chỉnh ĐK,TN,AB,ELITECH,
20252,THKHSS,167780,167780,BF2701E,Nhập môn Kỹ thuật Sinh học,Introduction to Biotechnology,3(3-0-0-6),**CTTT - Sinh học-K70S,1,3,0920-1145,4,6,Sáng,26-42,D6-302,NULL,45,50,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,THKHSS,167020,167020,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh học 01-K70S,1,4,0825-1145,3,6,Sáng,26-42,D3-405,NULL,70,70,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,167021,167021,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh học 02-K70S,1,4,0825-1145,3,6,Sáng,26-42,D3-406,NULL,57,70,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,THKHSS,167022,167022,BF2702,Hóa sinh,Biochemistry,4(4-0-0-8),Sinh học 03-K70S,1,6,0645-1005,1,4,Sáng,26-42,D3-405,NULL,70,70,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
