code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
CH4724,Kỹ thuật gia công bao bì,2(2-1-0-4),2,3,TVL,"(CH2004/CH3600),(CH3651/CH3630)",Package finishing,0.7
CH4725,Thí nghiệm gia công,1(0-0-2-4),1,3,TVL,,Finishing Lab,0.7
CH4726,Đồ án tổ chức sản xuất sản phẩm in,3(0-0-6-6),3,6,TVL,"CH4674=),(CH5700=)/(CH4666=),(CH4723=)/(CH4700=)",Project: Print production Management,0.7
CH4727,Thiết bị và dụng cụ đo,2(2-1-0-4),2,3,TVL,,Printing Measurements & Control instruments,0.7
CH4728,Ảnh kỹ thuật số,2(2-1-0-4),2,3,TVL,,Digital Photography,0.6
CH4729,Kỹ thuật đồ họa,2(1-2-0-4),2,3,TVL,,Print production Management,0.7
CH4730,Truyền thông đa phương tiện,2(2-1-0-4),2,3,TVL,,Multimedia,0.7
CH4731,Công nghệ web,2(2-1-0-4),2,3,TVL,,Web technology,0.7
CH4732,Thực hành thiết kế web,1(0-0-2-2),1,3,TVL,,Web design Lab,0.7
CH4733,Thực hành thiết kế sản phẩm in,2(0-0-2-2),2,6,TVL,,Print design Lab,0.7
CH4734,Đồ án thiết kế sản phẩm truyền thông,3(0-0-6-6),3,6,TVL,,Project: media product design,0.7
CH4739,Kỹ thuật chụp ảnh,2(1-2-0-4),2,3,TVL,,Photographic technology,0.7
CH4749,Thí nghiệm in offset,1(0-0-2-2),1,3,TVL,,Offset Printing Lab,0.7
CH4751,Kỹ thuật in flexo và in lõm,3(3-1-0-6),3,4,TVL,(CH2004/CH3600),Flexo and Gravure Printing Process,0.6
CH4758,Máy in offset và bảo dưỡng,3(3-0-1-6),3,4.5,TVL,,Printing machinery maintenance and service,0.7
CH4780,An toàn trong nhà máy hóa chất,2(2-1-0-4),2,3,THKHSS,,Safety in Chemical Plant,0.7
CH4800,Hóa keo,2(2-1-0-4),2,3,THKHSS,CH3060/CH3061,Colloid Chemistry,0.7
CH4801,Kỹ thuật xúc tác,2(2-1-0-4),2,3,THKHSS,CH3060/CH3061,Catalytic Engineering,0.7
CH4803,Các phản ứng xúc tác trong công nghệ mới và bảo vệ môi trường,2(2-0-0-4),2,2,THKHSS,,Catalytic Reaction in Environmental Engineering and Emerging Technologies,0.7
CH4825,Các phương pháp tổng hợp hữu cơ,3(2-2-0-6),3,4,THKHSS,,Organic Synthesis,0.7
CH4826,Xúc tác hữu cơ,2(2-0-0-4),2,2,THKHSS,,Organic Catalyst,0.7
CH4827,Hóa học các hợp chất thiên nhiên,3(3-0-0-6),3,3,THKHSS,,Chemistry of Natural Products,0.7
CH4827E,Hóa hợp chất thiên nhiên,3(3-0-0-6),3,3,THKHSS,,Chemistry of Natural Products,0.7
CH4828,Cơ chế phản ứng hóa hữu cơ,3(2-2-0-6),3,4,THKHSS,"CH3228,CH3229",Organic Chemical Reaction,0.7
CH4829,Phân tích thành phần và cấu trúc các hợp chất hữu cơ,2(2-1-0-4),2,3,THKHSS,,Analysis of Compound Structure and Composition,0.7
CH4830,Cơ sở hóa lập thể hữu cơ,2(2-0-0-4),2,2,THKHSS,"CH3228,CH3229",Fundamentals of Organic Stereochemistry,0.7
CH4831,Hóa hữu cơ ứng dụng,2(2-0-0-4),2,2,THKHSS,,Applied Organic Chemistry,0.7
CH4832,Các hợp chất có độc tính đối với sinh vật,2(2-0-0-4),2,2,THKHSS,,Bio-toxic Compounds,0.7
